service_type,phone_brand,is_warranty_case,parts_availability,current_workload,technician_availability,actual_duration_minutes
Speaker/Mic Repair,Other,False,Available,6,2,40.5
Camera Repair,Other,True,Available,5,2,56.6
Charging Port Repair,Apple,False,Available,13,2,45.5
Charging Port Repair,Samsung,False,Available,9,1,28.1
Water Damage Diagnostic,Realme,False,Available,8,1,53.7
Battery Replacement,Samsung,False,Available,13,0,36.8
Battery Replacement,Samsung,False,Order Required,10,3,129.2
Battery Replacement,Samsung,False,Available,7,0,38.8
Speaker/Mic Repair,Oppo,False,Order Required,0,4,80.7
Battery Replacement,Apple,False,Available,3,1,36.8
Charging Port Repair,Oppo,False,Order Required,9,2,185.0
Water Damage Diagnostic,Vivo,False,Available,9,3,71.5
Speaker/Mic Repair,Vivo,False,Available,13,2,44.3
Camera Repair,Vivo,False,Available,6,0,57.8
Screen Replacement,Xiaomi,False,Available,4,1,41.5
Camera Repair,Xiaomi,True,Available,2,1,16.7
Camera Repair,OnePlus,True,Available,14,1,81.4
Battery Replacement,OnePlus,True,Order Required,6,0,181.6
Water Damage Diagnostic,Oppo,False,Available,12,1,86.5
Water Damage Diagnostic,Samsung,False,Available,8,4,34.9
Software Issue,Xiaomi,True,Order Required,6,3,107.3
Speaker/Mic Repair,Apple,False,Order Required,8,3,160.3
Charging Port Repair,Xiaomi,False,Available,6,4,20.3
Battery Replacement,OnePlus,False,Available,14,4,20.6
Water Damage Diagnostic,Vivo,False,Available,9,0,48.5
Warranty Diagnostic,Xiaomi,False,Unknown,3,1,63.6
Battery Replacement,Apple,False,Available,9,1,46.5
Battery Replacement,OnePlus,False,Available,3,4,12.9
Camera Repair,Other,False,Unknown,11,0,69.0
Software Issue,OnePlus,True,Order Required,0,0,246.1
Battery Replacement,Samsung,True,Order Required,6,1,230.1
Battery Replacement,Xiaomi,True,Unknown,8,0,59.2
Charging Port Repair,Samsung,False,Available,10,2,17.5
Camera Repair,Oppo,False,Order Required,0,4,141.6
Water Damage Diagnostic,Xiaomi,True,Available,10,4,51.9
Camera Repair,Vivo,False,Available,10,1,42.0
Software Issue,Xiaomi,False,Order Required,8,1,218.1
Charging Port Repair,Vivo,True,Available,11,0,39.4
Screen Replacement,Vivo,False,Available,6,2,56.2
Camera Repair,Xiaomi,False,Available,2,0,21.5
Camera Repair,Realme,False,Available,0,2,34.5
Warranty Diagnostic,Vivo,True,Available,7,1,53.0
Screen Replacement,OnePlus,False,Available,10,1,80.8
Warranty Diagnostic,Vivo,False,Order Required,6,3,219.1
Speaker/Mic Repair,Oppo,False,Order Required,9,4,218.0
Screen Replacement,Realme,False,Available,11,0,54.8
Screen Replacement,Realme,True,Available,4,2,62.1
Charging Port Repair,Other,False,Available,11,4,28.8
Charging Port Repair,Oppo,False,Available,2,3,21.3
Camera Repair,Vivo,False,Unknown,12,1,75.1
Warranty Diagnostic,Vivo,True,Order Required,11,4,201.7
Charging Port Repair,Xiaomi,False,Available,11,0,50.6
Warranty Diagnostic,OnePlus,False,Available,2,1,30.6
Warranty Diagnostic,Samsung,False,Available,3,4,15.4
Warranty Diagnostic,Apple,False,Available,14,4,31.7
Charging Port Repair,Xiaomi,True,Available,2,0,33.7
Battery Replacement,Samsung,True,Unknown,2,2,58.8
Speaker/Mic Repair,Samsung,True,Available,5,3,47.4
Battery Replacement,OnePlus,False,Available,13,2,36.5
Screen Replacement,Apple,False,Unknown,8,0,84.9
Camera Repair,Oppo,False,Available,8,4,47.1
Warranty Diagnostic,Other,False,Order Required,3,2,97.1
Battery Replacement,Realme,False,Unknown,6,0,56.6
Camera Repair,OnePlus,False,Available,8,4,35.3
Speaker/Mic Repair,Vivo,False,Available,0,1,25.4
Warranty Diagnostic,Samsung,False,Available,10,3,29.0
Speaker/Mic Repair,Other,False,Available,11,0,46.2
Screen Replacement,Realme,False,Available,14,2,39.8
Screen Replacement,Vivo,False,Available,13,1,40.9
Camera Repair,Vivo,False,Available,1,3,14.0
Camera Repair,Realme,False,Available,5,0,39.2
Warranty Diagnostic,Xiaomi,True,Unknown,11,4,59.7
Charging Port Repair,Realme,False,Available,11,4,44.3
Battery Replacement,Vivo,False,Available,8,2,26.0
Software Issue,Vivo,True,Available,8,2,37.2
Battery Replacement,Realme,False,Available,4,1,28.6
Software Issue,Xiaomi,True,Available,5,4,25.2
Screen Replacement,Apple,False,Available,9,4,35.4
Warranty Diagnostic,Vivo,False,Order Required,11,4,212.5
Warranty Diagnostic,Apple,False,Order Required,11,3,112.3
Camera Repair,Vivo,False,Order Required,10,2,196.4
Speaker/Mic Repair,Other,False,Available,12,2,42.8
Battery Replacement,Oppo,False,Order Required,5,4,166.7
Software Issue,Xiaomi,False,Available,5,1,27.9
Water Damage Diagnostic,Vivo,False,Available,10,0,70.4
Warranty Diagnostic,Vivo,False,Order Required,2,2,96.0
Water Damage Diagnostic,Vivo,False,Order Required,1,1,265.9
Charging Port Repair,Xiaomi,False,Available,9,4,31.3
Speaker/Mic Repair,OnePlus,False,Unknown,4,3,40.5
Water Damage Diagnostic,Xiaomi,False,Available,14,4,61.2
Speaker/Mic Repair,Apple,False,Order Required,3,3,132.2
Software Issue,Xiaomi,False,Available,6,2,29.4
Charging Port Repair,Xiaomi,True,Available,2,3,33.7
Warranty Diagnostic,Oppo,False,Available,6,4,36.3
Software Issue,Xiaomi,False,Available,7,1,36.7
Screen Replacement,Samsung,False,Order Required,1,4,103.0
Camera Repair,Other,False,Available,9,0,36.8
Camera Repair,Samsung,False,Available,0,3,8
